##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	160123_I132_FCH3YHMBBXX_L4_OYSzenG1AAD96FAAPEI-109_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	364261046
Sequences flagged as poor quality	0
Sequence length	100
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	14-15	-0.26313552117292005
1103	16-17	-0.21106891964192442
1103	18-19	-0.3324658340878912
1103	20-21	-0.27477845580386884
1103	22-23	-0.3076889951001789
1103	24-25	-0.35718252022703467
1103	26-27	-0.21714581763613694
1103	28-29	-0.21608249220886933
1103	30-31	-0.18515057835792703
1103	32-33	-0.2965007806821305
1103	34-35	-0.2804395732030116
1103	36-37	-0.2994886565923167
1103	38-39	-0.39430238261403616
1103	40-41	-0.20281742845011053
1103	42-43	-0.3587824499680252
1103	44-45	-0.3459223700046863
1103	46-47	-0.36431681073639766
1103	48-49	-0.40740738870182724
1103	50-51	-0.37467426452928976
1103	52-53	-0.23031750188323485
1103	54-55	-0.3601791677091697
1103	56-57	-0.46717598232506674
1103	58-59	-0.3676276012097972
1103	60-61	-0.42204801285620164
1103	62-63	-0.24827868382269713
1103	64-65	-0.3094346872789302
1103	66-67	-0.461791132928866
1103	68-69	-0.2997570607936524
1103	70-71	-0.34331050493339177
1103	72-73	-0.40024892216184327
1103	74-75	-0.5047800860814533
1103	76-77	-0.4742216803859378
1103	78-79	-0.2517637387377647
1103	80-81	-0.2119232089070735
1103	82-83	-0.1932276440014533
1103	84-85	-0.2553840603705311
1103	86-87	-0.3142466112851565
1103	88-89	-0.256845203805419
1103	90-91	-0.20150518246019544
1103	92-93	-0.371118093475971
1103	94-95	-0.4316352823761207
1103	96-97	-0.32910731281086214
1103	98-99	-0.28403874962644693
1103	100	-0.2997987730442233
1104	1	-0.0087594457003064
1104	2	-0.13656278470702787
1104	3	-0.49047476387562483
1104	4	-0.13986238911419235
1104	5	-0.10063521003169029
1104	6	-0.10826067035687004
1104	7	0.010859944068883465
1104	8	-0.11222047979160266
1104	9	-0.2835840854592462
1104	10-11	-0.10657602358764251
1104	12-13	-0.08726295710574306
1104	14-15	-0.20998309139435634
1104	16-17	-0.1928559119115718
1104	18-19	-0.12330036423582413
